FIC_MIS_DATE,N_EOP_BAL,V_ACCOUNT_NUMBER,V_CCY_CODE,V_PROD_CODE
30/4/2025,0.01,2001503080-BANK-NA-NA-ZSUN04,USN,38278400-3100
30/4/2025,1061885.38,2001503080-BANK-NA-NA-ZSUN05,USN,38278500-3160
30/4/2025,279827.62,2001503080-BANK-NA-NA-ZSUN30,USN,38285900-3113
30/4/2025,-583.54,2001503080-BANK-NA-NA-ZSUN60,USN,38302000-0816
30/4/2025,0.00,2001503080-BANK-NA-NA-ZSUN61,USN,38303000-0817
30/4/2025,25.89,2001503080-BANK-NA-NA-ZSUN85,USN,38306600-3495
30/4/2025,-45851.25,2002818620-BANK-NA-NA-,USN,41047150-3115
30/4/2025,0.00,2002818470-BANK-NA-NA-,USN,41047160-3120
30/4/2025,-275484.81,2002818490-BANK-NA-NA-,USN,41081000-3185
30/4/2025,25556.06,3000807200-BANK-NA-NA-ZSPC15,USN,44276050-4156
30/4/2025,2577.87,3000807200-BANK-NA-NA-ZSPC04,USN,44276100-3839
30/4/2025,808402.69,3000807200-BANK-NA-NA-ZSPC18,USN,44276370-4176
30/4/2025,893041.61,2002818550-BANK-NA-NA-ZCSP01,USN,44276385-3851
30/4/2025,-1781.30,3000807200-BANK-NA-NA-ZSPC19,USN,44276390-4152
30/4/2025,-213660.82,3000807200-BANK-NA-NA-ZSPC20,USN,44276400-4172
30/4/2025,21238.13,2002818570-BANK-NA-NA-ZCSW01,USN,44276420-4260
30/4/2025,-4947.72,3000807200-BANK-NA-NA-ZSPC07,USN,44280900-3920
30/4/2025,120644.63,2002818740-BANK-NA-NA-ZCAZ01,USN,44286000-4275
30/4/2025,-489.59,3000802120-BANK-NA-NA-ZWIS01,USN,47661500-4632
30/4/2025,15.75,2000300010-BANK-NA-1021-,USN,38301000-0000
30/4/2025,274984.62,2001503080-BANK-NA-NA-ZSUN31,USN,38285800-0000
30/4/2025,-315.32,3000807200-BANK-NA-NA-ZSPC06,USN,1010101-A6
30/4/2025,5538.48,2002818890-BANK-NA-NA-ZSUS10,USN,18505400-0348
30/4/2025,-176658962.17,3000201030-BANK-NA-NA-ZCDT01,USN,18803800-1040
30/4/2025,-253811.57,3000201030-BANK-NA-NA-ZCDT02,USN,18803850-1050
30/4/2025,231.05,3000807200-BANK-NA-NA-ZSPC09,USN,1010101-L1
30/4/2025,-1311066.13,2002818230-BANK-NA-NA-,USN,44276320-3836
30/4/2025,-5414.26,2002818240-BANK-NA-NA-,USN,44276360-3837
30/4/2025,232626.85,2002818250-BANK-NA-NA-,USN,44276380-3838
30/4/2025,-100784.14,3000900380-BANK-NA-NA-,USN,38252600-2896
